Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.65,0.65,0.4,0.6,0.6,0.55,0.6,0.4,0.65,0.55,0.5,0.65,0.6,0.45,0.3,0.5,0.65,0.55,0.5,0.5
1,0.9,0.85,0.6,0.8,0.7,0.7,0.8,0.4,0.75,0.5,0.75,0.6,0.6,0.55,0.55,0.45,0.6,0.4,0.55,0.4
2,0.95,0.85,0.7,0.9,0.7,0.75,0.65,0.5,0.85,0.5,0.8,0.55,0.65,0.6,0.6,0.35,0.6,0.3,0.45,0.35
3,0.9,0.9,0.45,0.85,0.75,0.75,0.6,0.55,0.7,0.3,0.75,0.4,0.65,0.55,0.55,0.4,0.5,0.3,0.4,0.45
4,1.0,0.6,0.7,1.0,0.65,0.8,0.45,0.5,0.9,0.15,1.0,0.15,0.65,0.3,0.55,0.35,0.35,0.1,0.45,0.4
5,0.95,0.35,0.6,0.95,0.65,0.65,0.45,0.5,0.8,0.15,0.95,0.1,0.45,0.3,0.4,0.4,0.6,0.2,0.5,0.35
6,1.0,0.25,0.55,0.9,0.8,0.95,0.3,0.55,0.75,0.2,1.0,0.05,0.4,0.35,0.55,0.4,0.3,0.05,0.5,0.2
7,0.95,0.2,0.35,0.65,0.75,0.95,0.35,0.6,0.8,0.1,0.9,0.05,0.4,0.35,0.75,0.15,0.3,0.0,0.5,0.45
8,0.95,0.1,0.6,0.8,0.8,1.0,0.75,0.25,0.9,0.0,0.85,0.05,0.7,0.4,0.45,0.35,0.2,0.1,0.8,0.15
9,1.0,0.05,0.8,0.85,0.95,0.9,0.8,0.2,0.9,0.05,0.7,0.05,0.75,0.6,0.35,0.5,0.25,0.2,0.9,0.2
10,0.95,0.05,0.7,0.7,0.85,0.8,0.75,0.15,0.85,0.2,0.5,0.1,0.8,0.55,0.35,0.4,0.1,0.35,0.85,0.3
11,0.95,0.0,0.7,0.65,0.55,0.8,0.7,0.3,1.0,0.05,0.6,0.0,0.55,0.55,0.4,0.25,0.1,0.3,0.7,0.1
12,0.9,0.0,0.8,0.6,0.65,0.75,0.55,0.1,1.0,0.15,0.55,0.0,0.55,0.6,0.4,0.25,0.15,0.35,0.6,0.0
13,0.95,0.1,0.65,0.4,0.45,0.75,0.35,0.1,0.9,0.15,0.35,0.1,0.25,0.5,0.5,0.2,0.1,0.5,0.75,0.05
14,1.0,0.15,0.6,0.3,0.35,0.8,0.4,0.1,0.9,0.1,0.35,0.4,0.25,0.55,0.55,0.35,0.05,0.5,0.9,0.15
15,1.0,0.15,0.65,0.35,0.35,0.7,0.45,0.15,1.0,0.0,0.2,0.6,0.25,0.75,0.4,0.55,0.15,0.35,0.75,0.15
16,1.0,0.15,0.85,0.15,0.2,0.75,0.3,0.1,1.0,0.05,0.25,0.55,0.4,0.8,0.35,0.6,0.15,0.25,0.8,0.1
17,0.95,0.15,0.75,0.3,0.25,0.7,0.3,0.1,0.85,0.1,0.25,0.6,0.35,0.8,0.4,0.5,0.2,0.4,0.95,0.0
18,0.75,0.05,0.7,0.2,0.15,0.65,0.15,0.15,0.8,0.1,0.55,0.6,0.15,1.0,0.35,0.55,0.15,0.65,0.9,0.05
19,0.85,0.15,0.65,0.3,0.3,0.7,0.25,0.35,0.7,0.25,0.4,0.7,0.25,1.0,0.35,0.55,0.05,0.65,0.95,0.15
20,0.7,0.0,0.8,0.45,0.25,0.55,0.55,0.65,0.55,0.15,0.7,0.85,0.5,1.0,0.6,0.45,0.0,0.5,1.0,0.2
21,0.55,0.0,0.7,0.4,0.15,0.55,0.45,0.65,0.5,0.15,0.75,0.9,0.45,0.9,0.55,0.4,0.0,0.5,0.95,0.25
22,0.8,0.0,0.45,0.65,0.25,0.4,0.5,0.55,0.45,0.15,0.9,0.7,0.7,1.0,0.8,0.3,0.05,0.55,0.95,0.3
23,0.9,0.05,0.55,0.8,0.35,0.3,0.8,0.75,0.3,0.1,0.8,0.75,0.95,0.85,0.85,0.25,0.05,0.75,0.9,0.55
24,0.7,0.1,0.55,0.7,0.3,0.2,0.65,0.75,0.35,0.0,0.7,0.9,0.85,0.9,0.8,0.5,0.2,0.95,0.75,0.65
25,0.7,0.15,0.4,0.95,0.1,0.3,0.7,0.85,0.15,0.05,0.45,0.7,0.75,0.85,0.8,0.4,0.2,0.85,0.6,0.85
26,0.75,0.2,0.25,0.9,0.1,0.45,0.7,0.8,0.2,0.2,0.6,0.75,0.75,0.65,0.6,0.5,0.2,0.75,0.7,0.6
27,0.85,0.05,0.25,0.75,0.25,0.3,0.6,0.55,0.45,0.25,0.7,0.8,0.7,0.65,0.35,0.6,0.45,0.75,0.75,0.35
28,0.7,0.0,0.2,0.75,0.3,0.5,0.4,0.6,0.45,0.1,0.4,0.6,0.8,0.6,0.35,0.6,0.35,0.7,0.8,0.55
29,0.85,0.1,0.3,0.75,0.45,0.55,0.55,0.6,0.4,0.1,0.45,0.45,0.95,0.6,0.35,0.55,0.45,0.85,0.7,0.55
30,0.75,0.05,0.3,0.65,0.4,0.6,0.4,0.65,0.5,0.1,0.3,0.5,1.0,0.6,0.35,0.7,0.5,0.65,0.75,0.45
31,0.9,0.15,0.5,0.75,0.55,0.5,0.6,0.75,0.55,0.0,0.45,0.65,0.95,0.5,0.45,0.7,0.6,0.6,0.7,0.45
32,0.8,0.2,0.25,0.45,0.45,0.6,0.5,0.75,0.55,0.0,0.2,0.6,0.7,0.55,0.5,0.7,0.5,0.6,0.6,0.4
33,0.6,0.4,0.3,0.6,0.45,0.65,0.55,0.7,0.4,0.0,0.25,0.8,0.85,0.55,0.25,0.6,0.5,0.45,0.75,0.4
34,0.8,0.6,0.35,0.9,0.85,0.25,0.5,0.5,0.8,0.0,0.25,0.9,1.0,0.15,0.05,0.7,0.75,0.4,0.9,0.4
35,0.85,0.95,0.15,1.0,0.95,0.2,0.6,0.35,0.85,0.05,0.5,1.0,1.0,0.05,0.1,0.85,0.75,0.3,0.9,0.6
36,0.95,0.85,0.15,1.0,0.95,0.3,0.65,0.25,0.8,0.1,0.4,0.95,0.9,0.1,0.05,1.0,0.7,0.3,0.85,0.55
37,0.9,0.95,0.1,1.0,0.85,0.2,0.8,0.25,0.75,0.0,0.55,0.9,1.0,0.3,0.05,1.0,0.85,0.15,0.85,0.55
38,0.9,0.8,0.1,0.9,0.85,0.45,0.75,0.55,0.75,0.0,0.45,0.95,0.9,0.3,0.1,0.95,0.75,0.25,0.7,0.45
39,0.85,0.7,0.3,0.7,0.7,0.55,0.6,0.55,0.65,0.05,0.5,0.95,0.9,0.5,0.25,0.85,0.6,0.35,0.55,0.55
40,0.7,0.8,0.4,0.45,0.5,0.5,0.6,0.6,0.75,0.15,0.6,1.0,0.75,0.3,0.15,0.9,0.4,0.4,0.65,0.6
41,0.75,0.7,0.35,0.35,0.45,0.5,0.45,0.65,0.8,0.2,0.6,1.0,0.7,0.3,0.3,0.8,0.5,0.7,0.5,0.55
42,0.45,0.7,0.6,0.3,0.75,0.7,0.2,0.9,0.45,0.1,0.35,0.95,0.9,0.6,0.25,0.85,0.4,0.85,0.25,0.6
43,0.4,0.7,0.75,0.4,0.6,0.55,0.25,0.85,0.4,0.2,0.45,0.95,0.9,0.6,0.25,0.8,0.4,0.8,0.45,0.75
44,0.45,0.55,0.7,0.35,0.7,0.5,0.35,0.7,0.55,0.25,0.45,0.95,1.0,0.75,0.15,0.75,0.4,0.65,0.5,0.8
45,0.75,0.4,0.6,0.4,0.75,0.25,0.45,0.6,0.65,0.3,0.55,1.0,1.0,0.45,0.2,0.75,0.6,0.5,0.7,0.6
46,0.75,0.35,0.5,0.4,0.9,0.5,0.4,0.55,0.55,0.7,0.7,0.9,0.95,0.3,0.25,0.7,0.5,0.7,0.8,0.65
47,1.0,0.55,0.15,0.55,0.9,0.25,0.45,0.35,0.85,0.75,0.75,0.95,0.85,0.05,0.35,1.0,0.8,0.3,0.95,1.0
48,0.95,0.55,0.1,0.6,0.8,0.3,0.45,0.25,0.85,0.85,0.7,0.9,0.95,0.0,0.55,0.9,0.8,0.3,0.75,1.0
49,0.9,0.75,0.1,0.65,0.9,0.6,0.6,0.15,0.8,0.95,0.7,0.85,1.0,0.05,0.65,0.9,0.55,0.4,0.8,0.95
