Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.5,0.65,0.6,0.5,0.45,0.4,0.5,0.5,0.4,0.55,0.5,0.5,0.55,0.35,0.5,0.5,0.5,0.2,0.4,0.65
1,0.75,0.6,0.65,0.6,0.45,0.3,0.5,0.6,0.2,0.65,0.7,0.45,0.55,0.35,0.7,0.7,0.35,0.2,0.55,0.6
2,0.85,0.6,0.5,0.5,0.25,0.4,0.65,0.4,0.3,0.6,0.7,0.4,0.7,0.4,0.55,0.75,0.5,0.25,0.45,0.6
3,0.75,0.75,0.7,0.7,0.2,0.45,0.65,0.5,0.4,0.6,0.75,0.3,0.6,0.4,0.65,0.75,0.3,0.25,0.55,0.6
4,0.8,0.8,0.9,0.75,0.2,0.55,0.9,0.8,0.4,0.65,0.85,0.25,0.4,0.3,0.85,0.7,0.15,0.25,0.25,0.4
5,0.75,0.8,0.95,0.7,0.2,0.55,1.0,0.75,0.35,0.7,0.8,0.1,0.35,0.35,0.95,0.9,0.05,0.15,0.2,0.4
6,0.85,0.85,0.95,0.9,0.05,0.65,1.0,0.9,0.3,0.8,0.7,0.15,0.25,0.4,0.9,0.75,0.15,0.1,0.25,0.35
7,0.85,0.65,1.0,0.85,0.15,0.85,0.95,0.8,0.35,0.7,0.7,0.15,0.15,0.6,0.8,1.0,0.35,0.4,0.35,0.35
8,0.75,0.4,0.85,0.85,0.35,0.85,1.0,0.9,0.4,0.6,0.5,0.2,0.05,0.45,0.85,0.95,0.25,0.45,0.3,0.55
9,0.7,0.4,0.8,0.9,0.5,0.45,0.9,0.95,0.2,0.6,0.75,0.15,0.05,0.75,0.6,0.9,0.55,0.55,0.1,0.35
10,0.65,0.5,0.8,0.8,0.45,0.3,0.9,1.0,0.15,0.75,0.7,0.25,0.05,0.8,0.65,0.95,0.4,0.45,0.15,0.3
11,0.65,0.55,0.85,0.7,0.7,0.45,0.9,0.85,0.05,0.9,0.7,0.25,0.0,0.95,0.7,1.0,0.3,0.15,0.1,0.1
12,0.6,0.85,0.6,0.55,0.7,0.55,0.8,0.9,0.15,0.75,0.55,0.25,0.05,0.9,0.6,0.95,0.35,0.05,0.2,0.3
13,0.85,0.6,0.5,0.65,0.5,0.75,0.7,0.8,0.1,0.65,0.6,0.35,0.1,0.9,0.5,0.95,0.8,0.25,0.55,0.3
14,1.0,0.3,0.5,0.75,0.55,0.7,0.7,0.75,0.15,0.75,0.7,0.45,0.1,1.0,0.5,0.95,0.8,0.35,0.65,0.1
15,0.95,0.4,0.25,0.65,0.8,0.6,0.55,0.6,0.35,0.6,0.6,0.35,0.1,0.95,0.35,0.8,0.65,0.1,0.45,0.2
16,0.95,0.25,0.25,0.55,0.85,0.6,0.5,0.45,0.3,0.75,0.5,0.45,0.2,0.8,0.45,0.8,0.55,0.05,0.55,0.1
17,0.9,0.4,0.25,0.7,0.6,0.6,0.3,0.45,0.15,0.7,0.6,0.5,0.05,0.65,0.35,0.9,0.6,0.05,0.35,0.1
18,0.8,0.25,0.3,0.65,0.65,0.65,0.4,0.5,0.3,0.7,0.55,0.5,0.1,0.7,0.45,0.95,0.5,0.05,0.45,0.1
19,0.8,0.25,0.6,0.6,0.95,0.55,0.2,0.55,0.4,0.55,0.65,0.5,0.0,0.7,0.45,1.0,0.4,0.15,0.5,0.15
20,0.8,0.25,0.9,0.45,0.95,0.65,0.25,0.4,0.65,0.35,0.4,0.45,0.05,0.85,0.6,1.0,0.2,0.2,0.45,0.1
21,0.9,0.5,1.0,0.5,0.75,0.55,0.35,0.45,0.55,0.3,0.45,0.35,0.15,0.8,0.5,0.9,0.15,0.4,0.3,0.05
22,0.9,0.65,1.0,0.45,0.7,0.35,0.35,0.65,0.4,0.4,0.5,0.45,0.15,0.65,0.4,0.8,0.35,0.35,0.25,0.15
23,0.7,0.45,0.95,0.5,0.75,0.7,0.2,0.55,0.5,0.5,0.4,0.35,0.1,0.6,0.45,1.0,0.2,0.25,0.2,0.15
24,0.65,0.55,0.85,0.55,0.65,0.75,0.3,0.55,0.5,0.5,0.25,0.35,0.15,0.8,0.5,0.85,0.15,0.45,0.2,0.1
25,0.7,0.5,0.7,0.6,0.6,0.75,0.4,0.6,0.7,0.3,0.1,0.2,0.05,0.9,0.7,0.8,0.05,0.35,0.15,0.0
