Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
0,0.5,0.65,0.6,0.5,0.4,0.4,0.75,0.65,0.5,0.35,0.55,0.6,0.4,0.45,0.5,0.45,0.5,0.5,0.25,0.4
1,0.6,0.95,0.6,0.35,0.5,0.45,0.85,0.45,0.5,0.45,0.65,0.65,0.6,0.6,0.6,0.6,0.5,0.55,0.35,0.5
2,0.6,0.9,0.35,0.5,0.55,0.45,0.85,0.55,0.7,0.25,0.65,0.65,0.65,0.7,0.65,0.8,0.7,0.9,0.25,0.35
3,0.7,1.0,0.3,0.45,0.4,0.35,0.9,0.45,0.9,0.45,0.75,0.6,0.6,0.9,0.65,0.9,0.5,1.0,0.35,0.5
4,0.9,0.95,0.3,0.3,0.4,0.4,0.95,0.3,0.95,0.35,0.7,0.5,0.7,0.9,0.65,0.95,0.6,0.95,0.4,0.5
5,0.75,0.9,0.4,0.45,0.45,0.45,0.85,0.2,0.9,0.5,0.6,0.4,0.85,0.85,0.5,0.9,0.45,0.95,0.4,0.5
6,0.9,0.85,0.5,0.25,0.3,0.3,0.75,0.25,0.9,0.65,0.5,0.3,0.75,0.9,0.3,0.9,0.35,0.8,0.4,0.3
7,0.95,0.9,0.5,0.05,0.05,0.1,0.8,0.35,0.95,0.8,0.8,0.15,0.65,0.9,0.15,1.0,0.3,0.8,0.45,0.15
8,1.0,1.0,0.25,0.15,0.1,0.15,0.75,0.6,0.85,0.75,0.75,0.2,0.55,0.85,0.2,0.9,0.6,0.45,0.35,0.2
9,0.9,0.95,0.4,0.05,0.25,0.15,0.8,0.6,0.85,0.85,0.95,0.15,0.8,0.8,0.15,1.0,0.2,0.6,0.5,0.25
10,0.95,0.9,0.55,0.15,0.3,0.2,0.9,0.5,0.95,0.9,0.95,0.15,0.7,0.7,0.3,1.0,0.3,0.6,0.5,0.45
11,0.85,0.9,0.45,0.3,0.4,0.2,0.8,0.5,0.9,0.9,0.85,0.35,0.8,0.65,0.15,0.9,0.25,0.6,0.45,0.35
12,0.7,0.95,0.4,0.35,0.35,0.25,0.75,0.65,1.0,0.75,0.9,0.45,0.75,0.5,0.15,0.95,0.1,0.45,0.4,0.3
13,0.65,0.95,0.35,0.3,0.5,0.45,0.9,0.7,1.0,0.75,0.8,0.45,0.5,0.75,0.3,0.85,0.2,0.45,0.25,0.1
14,0.75,0.85,0.2,0.25,0.6,0.65,0.75,0.85,0.9,0.8,1.0,0.2,0.35,0.9,0.3,0.9,0.05,0.45,0.2,0.05
15,0.6,0.8,0.2,0.15,0.6,0.65,0.65,0.75,0.7,0.85,0.95,0.45,0.4,0.85,0.4,0.65,0.2,0.6,0.3,0.1
16,0.7,0.65,0.3,0.0,0.75,0.75,0.65,0.7,0.65,0.9,0.95,0.65,0.45,0.75,0.35,0.6,0.3,0.6,0.25,0.15
17,0.65,0.7,0.15,0.0,0.75,0.75,0.8,0.65,0.8,0.9,0.85,0.45,0.35,0.9,0.25,0.7,0.4,0.45,0.25,0.2
18,0.5,0.5,0.15,0.05,0.85,0.85,0.8,0.65,0.6,0.9,0.9,0.5,0.2,0.8,0.15,0.55,0.25,0.5,0.2,0.15
19,0.5,0.3,0.1,0.1,0.95,0.95,0.45,0.8,0.45,0.85,0.85,0.6,0.05,0.75,0.05,0.25,0.3,0.6,0.45,0.0
20,0.75,0.5,0.25,0.3,0.85,1.0,0.75,0.75,0.6,0.7,0.75,0.4,0.15,0.7,0.1,0.3,0.2,0.4,0.25,0.1
21,0.65,0.45,0.35,0.45,0.7,1.0,0.75,0.75,0.6,0.5,0.7,0.45,0.1,0.65,0.1,0.45,0.2,0.45,0.2,0.1
22,0.7,0.3,0.5,0.6,0.7,0.95,0.85,0.65,0.55,0.75,0.55,0.45,0.2,0.55,0.15,0.25,0.1,0.5,0.2,0.1
23,0.8,0.1,0.7,0.75,0.8,0.9,0.6,0.8,0.55,0.7,0.55,0.5,0.2,0.7,0.2,0.4,0.2,0.45,0.35,0.2
